date,Bond/Credit Smooth Score Best,Bond/Credit Core Only,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,100% D Buy & Hold,SPY Buy & Hold
2017-08-24,1.0067476647629312,1.006688114656805,1.00547111042317,1.0027945602891934,1.0065239428709847,1.0191915780603602,0.9938045063478862,1.0023416317473648
2017-08-25,1.0090796552328511,1.0089521865681723,1.0071880520445977,1.0037043141491708,1.0084183388325052,1.0187462648244934,0.9979796402479618,1.0046832634947291
2017-08-28,1.0092784980448666,1.009201129100314,1.007826840511485,1.0049890453617378,1.0089741308226612,1.0210747165821001,0.9967987301522626,1.004724344755109
2017-08-29,1.009953502987852,1.0099388742136708,1.0090403895959692,1.0071874123514792,1.0101466499145617,1.0246257549733693,0.9956488578256064,1.0058746199986015
2017-08-30,1.0154753777570196,1.015523869237337,1.0151367754103329,1.014380919508572,1.0162176737949693,1.0332879784306401,0.9991993891919413,1.0106400460093756
2017-08-31,1.0213501745643316,1.0214417649673133,1.021321881194697,1.0214741119052813,1.022510422251578,1.041496782207694,1.0036361286489088,1.0167200723004468
2017-09-01,1.0235691343977478,1.0236135707237473,1.0231909751740158,1.0223506746627382,1.02427921879007,1.0413050274452746,1.0072932061415258,1.0181579163571695
2017-09-05,1.015578442317686,1.0156250658759993,1.015186533455075,1.0144611756432997,1.0163323043678711,1.033397239975432,0.9993124485924978,1.0108454523018462
2017-09-06,1.0193986817357044,1.0194195108041395,1.0187914649965857,1.0174428858066467,1.0198692964605738,1.0358054670358339,1.0039391734436174,1.0142962780370375
2017-09-07,1.0203439619054029,1.020404912829186,1.0200382666080976,1.0198248564788337,1.0213401081570366,1.0393399555909826,1.0034090984506812,1.0141730342606126
2017-09-08,1.017341713348403,1.017350147421934,1.016570946840784,1.0148280506013256,1.0176469420640948,1.0329091912615334,1.0023608907296035,1.0129816777567402
2017-09-11,1.0281829816779269,1.0282111406250636,1.0275777701127442,1.0263779792327667,1.0287545155483695,1.0451686464791141,1.0123454627893858,1.02378604880292
2017-09-12,1.0324089438620914,1.032403842459794,1.031359181849367,1.0292519036949845,1.0325257309991074,1.047265556800558,1.01773653132141,1.0272368745381113
2017-09-13,1.033386924676408,1.0333642948666713,1.0320484693460379,1.0294004280781908,1.0332283491956198,1.0468943446922292,1.0194823853557395,1.0277298496438119
2017-09-14,1.0328159962227252,1.0327584466966906,1.0309818151070758,1.027248995492869,1.032131343705442,1.0436343499331986,1.020492198086077,1.0274011995702017
