method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,selection_score
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau0.75_eta0.10,0,2233,2017-06-28,2026-05-15,3.874605277338749,0.1957373649463825,0.20185972481912284,0.9870863334166657,1.1861040667752885,-0.36310892357272995,0.5390596381396193,6.660054749583878,0.4903620149798868,4.874605277338749,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau0.75_eta0.10,5,2233,2017-06-28,2026-05-15,3.7329815273671096,0.19176537146706019,0.20185702739505998,0.9706025635558722,1.1623267765810674,-0.3632405385657377,0.5279294327231467,6.660054749583878,0.4903620149798868,4.73298152736711,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau0.75_eta0.10,10,2233,2017-06-28,2026-05-15,3.595468942307889,0.1878064705229998,0.2018545364069643,0.9541173773688667,1.138988182876928,-0.36337212898687943,0.5168433557263306,6.660054749583878,0.4903620149798868,4.595468942307889,0.5920554854981084
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau0.75_eta0.10,20,2233,2017-06-28,2026-05-15,3.3323037582964474,0.1799277750885715,0.2018501737686119,0.9211429579950663,1.0921081415636922,-0.36363523613042237,0.49480291569994644,6.660054749583878,0.4903620149798868,4.332303758296447,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.03,0,2233,2017-06-28,2026-05-15,3.4956883321430015,0.18486750773704808,0.19833583025416265,0.9550301701822099,1.1374574783831537,-0.3552961903106835,0.5203194201868402,2.6360827532505224,0.4978165696281186,4.4956883321430015,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.03,5,2233,2017-06-28,2026-05-15,3.4435258683015855,0.18330799358189598,0.1983348234375565,0.9483894814036945,1.128051688350775,-0.35539004974566035,0.5157938262849024,2.6360827532505224,0.4978165696281186,4.4435258683015855,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.03,10,2233,2017-06-28,2026-05-15,3.391968194377479,0.18175051870388836,0.19833383888894643,0.9417486194687983,1.1188395719909907,-0.35548389609593634,0.5112763776360727,2.6360827532505224,0.4978165696281186,4.391968194377479,0.7063051702395965
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.03,20,2233,2017-06-28,2026-05-15,3.290639269191219,0.17864167618571858,0.19833193659703333,0.9284663850608327,1.1000735559927097,-0.35567154954935953,0.5022658585204802,2.6360827532505224,0.4978165696281186,4.290639269191219,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.05,0,2233,2017-06-28,2026-05-15,3.611921909425666,0.1882856334351084,0.19950798984137488,0.9650294997918412,1.1523472264442196,-0.35907109371949775,0.5243686744168691,3.780336183869064,0.49750667695159984,4.611921909425666,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.05,5,2233,2017-06-28,2026-05-15,3.5353758560620028,0.18604333865790035,0.19950685855707406,0.9555607708324749,1.139030587730828,-0.3591825853016054,0.517963137053763,3.780336183869064,0.49750667695159984,4.535375856062003,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.05,10,2233,2017-06-28,2026-05-15,3.46009929453495,0.18380524585699742,0.19950578019830573,0.946091683507181,1.1253532386156662,-0.3592940584311164,0.5115732964235378,3.780336183869064,0.49750667695159984,4.46009929453495,0.6366960907944514
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.05,20,2233,2017-06-28,2026-05-15,3.3132708436067126,0.17934163491923338,0.19950378226075724,0.9271524638645593,1.0984400830088514,-0.3595169493439647,0.4988405560474698,3.780336183869064,0.49750667695159984,4.313270843606713,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.10,0,2233,2017-06-28,2026-05-15,3.756386455611925,0.19242899896199517,0.2012084904447959,0.9758540539861569,1.1697174308687357,-0.36176466820575215,0.531917613503793,5.9703495406192415,0.4974840905406636,4.756386455611925,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.10,5,2233,2017-06-28,2026-05-15,3.632313660146406,0.1888774062245291,0.2012064884041606,0.9610273896250799,1.1481794065860356,-0.36191570909883597,0.5218823098196833,5.9703495406192415,0.4974840905406636,4.632313660146406,
bond_credit_smooth_score,bc_a0.67_lc0.25_lg0.10_li0.10_tilt0.50_tau1.00_eta0.10,10,2233,2017-06-28,2026-05-15,3.5114747212510764,0.18533631327054567,0.2012046401140821,0.9461997071659247,1.1268888071768464,-0.36206671688317826,0.5118844252407351,5.9703495406192415,0.4974840905406636,4.511474721251076,0.5744010088272384
