date,portfolio,dependent_return,window,n_obs,alpha_daily,alpha_annualized,r2,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_mom
2021-08-20,G-D,G-D zero-cost return,504,504,0.00020063224163884556,0.051853928728118115,0.7968350158988152,0.19985859855051677,-0.06819391942400892,-0.5644030043032376,0.16564187681495748,-0.2878585129785669,0.08981824933217945
2021-08-23,G-D,G-D zero-cost return,504,504,0.0002092540504479294,0.05414130256478744,0.7968090239065314,0.2001844555327167,-0.06867394430627985,-0.5643626576985443,0.16165817900192617,-0.28572279299120223,0.08943954673058752
2021-08-24,G-D,G-D zero-cost return,504,504,0.00021071209014297154,0.054528611311344344,0.7967599581472105,0.20026306650911957,-0.06869913456798678,-0.5641818394862071,0.16122122075460552,-0.2855186490904557,0.08953800397431201
2021-08-25,G-D,G-D zero-cost return,504,504,0.0002072195132006637,0.053601091736847684,0.7967107031442306,0.20030011620186408,-0.06837904196982118,-0.5648083205114899,0.16199562572357026,-0.28542390243991494,0.0892771856078115
2021-08-26,G-D,G-D zero-cost return,504,504,0.00020871857506167917,0.05399909626508648,0.7967001612097694,0.20029447349398147,-0.06854214359993079,-0.5647578583703621,0.1622360022867771,-0.28525225996134784,0.08942228425854351
2021-08-27,G-D,G-D zero-cost return,504,504,0.0002188493063473822,0.056692758293408696,0.7964684292646402,0.2005116982288309,-0.06705466167603696,-0.5649078834678704,0.16167567241345038,-0.28401820181718834,0.08977159659053842
2021-08-30,G-D,G-D zero-cost return,504,504,0.0002151146203566997,0.05569894492401661,0.7970545715767542,0.20043630788786324,-0.06697921540242781,-0.5667709053596925,0.162799361314266,-0.28194054898880905,0.0890913837162008
2021-08-31,G-D,G-D zero-cost return,504,504,0.00021452948627265198,0.05554332301916576,0.7970150078066294,0.20050537963941628,-0.06740999076712256,-0.566635688512026,0.1634723651676168,-0.28142605329790854,0.08925645700994346
2021-09-01,G-D,G-D zero-cost return,504,504,0.0002196161496939392,0.05689693334717161,0.7970568345065165,0.20036488522357906,-0.06883471297245837,-0.5654968129363093,0.16208791179719031,-0.2797841443633623,0.08973088349605972
2021-09-02,G-D,G-D zero-cost return,504,504,0.00020239515250128302,0.0523212281814982,0.7968508132557237,0.19973778150271126,-0.0681286425363343,-0.5649477106517972,0.16521002439397894,-0.28504274777203764,0.09028385921766953
2021-09-03,G-D,G-D zero-cost return,504,504,0.0001972757586141964,0.05096478818795647,0.7975257716511807,0.19901167865081396,-0.06942269894819032,-0.5631482815749411,0.16407228402972562,-0.28591396974118577,0.09172602235049397
2021-09-07,G-D,G-D zero-cost return,504,504,0.00022567478876032093,0.05851145204988639,0.7957825636728119,0.19898106188861672,-0.07287000936977163,-0.5615350127220703,0.1561338167233588,-0.2808744878409567,0.09131756470483247
2021-09-08,G-D,G-D zero-cost return,504,504,0.00020952053430661573,0.054212079855161965,0.7958165602294347,0.19946814214549918,-0.0737278624809585,-0.5627832271514538,0.15402636654256513,-0.2790517939311479,0.09211725753863377
2021-09-09,G-D,G-D zero-cost return,504,504,0.00021296515795260514,0.05512738740189782,0.7952396368610508,0.1994659977513612,-0.07351002435852971,-0.5629829879502748,0.153307629453771,-0.2784741600721596,0.09178439215355634
2021-09-10,G-D,G-D zero-cost return,504,504,0.00020778977752353072,0.05375248064099547,0.7951977770943855,0.19965003706451026,-0.07380314403925398,-0.5630658317890834,0.1527293006360463,-0.2773922405025497,0.09172461384377965
2021-09-13,G-D,G-D zero-cost return,504,504,0.00021088869424333267,0.05457553345160271,0.7952311368565141,0.19968267172312953,-0.07384948605847826,-0.562867792333483,0.1523744736507019,-0.2745966587879732,0.09191147648993069
2021-09-14,G-D,G-D zero-cost return,504,504,0.00021009726713675954,0.05436527452222317,0.7953102000110867,0.1996869103903187,-0.07377081533087894,-0.5630830397783336,0.1526618841490327,-0.27460306989791,0.09187634980546669
2021-09-15,G-D,G-D zero-cost return,504,504,0.00019981840791306532,0.051638273403643575,0.7958309320812025,0.199790510822257,-0.07450137467129152,-0.5623020963232181,0.15455392749840163,-0.2750321801970946,0.09317569849243904
2021-09-16,G-D,G-D zero-cost return,504,504,0.00021260025075522788,0.055030386560400935,0.7964232953727578,0.19976394524425525,-0.0753592712042033,-0.5611709780069232,0.15512025841458957,-0.2768603855032137,0.09463063053827686
2021-09-17,G-D,G-D zero-cost return,504,504,0.00020584839608243664,0.05323718792315102,0.7963271571826231,0.20011336248330558,-0.07632468602324113,-0.5609361157582597,0.15607565443960075,-0.27510384820449313,0.09515598970883614
2021-09-20,G-D,G-D zero-cost return,504,504,0.0002122490219553085,0.054937030144911914,0.7962774056282722,0.19978365753648367,-0.0764902970774264,-0.5608471046139437,0.1571072384112999,-0.27532812392256917,0.0952708197649973
2021-09-21,G-D,G-D zero-cost return,504,504,0.0002197340515535247,0.056928328665488914,0.796406466495674,0.19957729107033123,-0.07700898375874672,-0.5600284305734337,0.15488840551127048,-0.274566785896316,0.09534795695071126
2021-09-22,G-D,G-D zero-cost return,504,504,0.00021943549655148984,0.056848830200433964,0.7964644446964532,0.19980822051646718,-0.07743366981676607,-0.5592591484625882,0.15293622726741055,-0.2737956022464721,0.09578927405160545
2021-09-23,G-D,G-D zero-cost return,504,504,0.00022660925898621755,0.05876069018541741,0.7965243339552677,0.19970584140576203,-0.07821238045060416,-0.5583638757532422,0.15198867712087538,-0.2724792038896607,0.09637907287898456
2021-09-24,G-D,G-D zero-cost return,504,504,0.00021883009737692894,0.05668764433398099,0.7972403046495448,0.19944842290910883,-0.07962725154468146,-0.5573735624834655,0.15041055752961363,-0.27181203029449896,0.09684927570657362
2021-09-27,G-D,G-D zero-cost return,504,504,0.00021757310846771063,0.05635305268639046,0.7982334337881161,0.19940618528484794,-0.07907013124227637,-0.557223515421441,0.15010301091729947,-0.2719264232310029,0.09692189069499257
2021-09-28,G-D,G-D zero-cost return,504,504,0.00021959806014706568,0.05689211648177439,0.7990768605687224,0.19962998645791968,-0.07938930786384416,-0.5574361575988667,0.14920115607410486,-0.2714867564563702,0.09656076784427874
2021-09-29,G-D,G-D zero-cost return,504,504,0.00021863926503889837,0.05663684082428899,0.7991236002421571,0.19970147278833864,-0.07934497863897416,-0.557691729049029,0.148725731330404,-0.27138838236923324,0.09640268302230812
2021-09-30,G-D,G-D zero-cost return,504,504,0.0002386838771187376,0.06198644592601843,0.7979043086842683,0.19913051581908756,-0.08074560548158981,-0.5576277682005297,0.13974685890586613,-0.27112826986394345,0.09456215670181557
2021-10-01,G-D,G-D zero-cost return,504,504,0.00023449837592967967,0.06086717483879589,0.7980027507838239,0.1995690406769184,-0.08131640285037274,-0.5578032205832557,0.13967873479482323,-0.27008977822680624,0.09433608267656132
2021-10-04,G-D,G-D zero-cost return,504,504,0.00023585242484811648,0.06122914090960463,0.7992495099744078,0.19987017110601454,-0.08133495556177606,-0.5586684092073329,0.13932531483348967,-0.27022697455058475,0.09372739707927431
