method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,selection_score
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.15,5,2360,2016-12-21,2026-05-15,3.469478056233142,0.17336789647129858,0.18767706354519328,0.9462518465112016,1.122303240231711,-0.32527287194079735,0.5329921780346106,2.8305682992452468,0.4555101883787898,
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.15,10,2360,2016-12-21,2026-05-15,3.4106696974738266,0.17170956678695948,0.1876760519067277,0.9387158456709908,1.111553783964786,-0.3253818055164719,0.5277171737196811,2.8305682992452468,0.4555101883787898,0.5181818181818181
smooth_core_only,core_a0.50_tilt0.20_tau1.0_eta0.15,20,2360,2016-12-21,2026-05-15,3.2953625272741283,0.1683998879007722,0.18767411808928008,0.9236431599806878,1.0908225085734304,-0.32559962287274624,0.5171992719616502,2.8305682992452468,0.4555101883787898,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.05,0,2360,2016-12-21,2026-05-15,3.48431086416383,0.17378308608291348,0.18731913819050672,0.9496129244228874,1.1263482202621113,-0.33056246934707356,0.5257193486791454,1.061377178556884,0.46749198352081245,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.05,5,2360,2016-12-21,2026-05-15,3.4620856807668785,0.1731605145145263,0.1873197649304363,0.9467766847457068,1.1222814170221775,-0.3306389819332879,0.5237147583204947,1.061377178556884,0.46749198352081245,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.05,10,2360,2016-12-21,2026-05-15,3.439970575455056,0.17253827105352837,0.18732039528000244,0.9439404458580151,1.1182169393624497,-0.3307154861867144,0.5217121007636069,1.061377178556884,0.46749198352081245,0.4954545454545455
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.05,20,2360,2016-12-21,2026-05-15,3.396068422455854,0.17129476776653108,0.18732166680789833,0.9382679711076405,1.1100949568867486,-0.330868469698656,0.517712576005023,1.061377178556884,0.46749198352081245,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.15,0,2360,2016-12-21,2026-05-15,3.510583654426931,0.1745154942835292,0.1879385057466713,0.9504119429248398,1.1300256105103186,-0.3263810178709802,0.5346986642235301,2.185598905424445,0.46795830299558455,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.15,5,2360,2016-12-21,2026-05-15,3.4646880703783447,0.17323355561220666,0.18793773107523815,0.9446011715087846,1.1217022201681355,-0.326483930548634,0.5306036205858569,2.185598905424445,0.46795830299558455,
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.15,10,2360,2016-12-21,2026-05-15,3.4192591512702126,0.17195300687804416,0.18793697326054698,0.9387902679855423,1.1133880203600035,-0.326586828380691,0.5265154376575301,2.185598905424445,0.46795830299558455,0.5159090909090909
smooth_core_only,core_a0.50_tilt0.20_tau1.5_eta0.15,20,2360,2016-12-21,2026-05-15,3.3297823891587734,0.16939607323457695,0.1879355082022019,0.9271680708616332,1.0969697325483716,-0.3267925795160793,0.5183596074470904,2.185598905424445,0.46795830299558455,
smooth_core_only,core_a0.67_tilt0.10_tau1.0_eta0.05,0,2360,2016-12-21,2026-05-15,3.4609540893169264,0.17312874234135922,0.18795462059403545,0.9440781952554899,1.1172594585807527,-0.33212729111311157,0.5212722560712342,0.8557216613409669,0.4835663414624008,
