method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,static_g_weight,ann_excess_vs_smooth
Static G/D 24% G,2233,2017-06-28,2026-05-15,2.380199782661884,0.1473411123226116,0.18036559767647134,0.852812722619549,0.9783747615520714,-0.3515511256642717,0.4191171683612275,0.0,0.24,3.380199782661884,0.24,-0.04505713321593663
Static G/D 25% G,2233,2017-06-28,2026-05-15,2.404880202224306,0.14828346211803156,0.18073005223845306,0.8560011197656183,0.9828261226090682,-0.3508991777684741,0.42258138950633306,0.0,0.25,3.404880202224306,0.25,-0.04411478342051667
Static G/D 26% G,2233,2017-06-28,2026-05-15,2.429672407988743,0.14922399872926606,0.18110621783718087,0.8591211258209623,0.9879315150865299,-0.35024681564156535,0.4260538342252297,0.0,0.26,3.429672407988743,0.26,-0.04317424680928217
Static G/D 27% G,2233,2017-06-28,2026-05-15,2.454576219587539,0.15016271637441325,0.18149402165557418,0.8621729079784826,0.992476050876697,-0.34959403931435185,0.42953454432153026,0.0,0.26999999999999996,3.454576219587539,0.27,-0.04223552916413498
Static G/D 28% G,2233,2017-06-28,2026-05-15,2.479591448585531,0.15109960927831811,0.18189338925423,0.8651566708759716,0.9962452517881625,-0.3489408488180813,0.4330235619879895,0.0,0.28,3.479591448585531,0.28,-0.041298636260230115
Static G/D 29% G,2233,2017-06-28,2026-05-15,2.504717898435869,0.1520346716726333,0.18230424463604464,0.8680726556176316,1.0008363984692603,-0.34828724418444335,0.43652092981079693,0.0,0.29,3.504717898435869,0.29,-0.04036357386591494
Static G/D 30% G,2233,2017-06-28,2026-05-15,2.5299553644359722,0.1529678977958664,0.18272651031116957,0.8709211387587618,1.005039577546765,-0.3476332254455716,0.44002669077388384,0.0,0.30000000000000004,3.5299553644359722,0.3,-0.03943034774268184
Static G/D 31% G,2233,2017-06-28,2026-05-15,2.5553036336842676,0.15389928189344038,0.1831601073621882,0.8737024312571214,1.009595161719619,-0.34697879263404396,0.4435408882633263,0.0,0.31,3.5553036336842676,0.31,-0.03849896364510785
Static G/D 32% G,2233,2017-06-28,2026-05-15,2.5807624850374795,0.15482881821775174,0.18360495550940292,0.8764168773944618,1.014298219731328,-0.3463239457828816,0.4470635660717999,0.0,0.31999999999999995,3.5807624850374795,0.32,-0.03756942732079649
Static G/D 33% G,2233,2017-06-28,2026-05-15,2.606331689068109,0.15575650102822136,0.18406097317612588,0.879064853671695,1.019128149896026,-0.3456686849255515,0.4505947684030663,0.0,0.33000000000000007,3.606331689068109,0.33,-0.03664174451032687
Static G/D 34% G,2233,2017-06-28,2026-05-15,2.6320110080227885,0.15668232459135378,0.18452807755386827,0.8816467676811345,1.0230001018372907,-0.3450130100959662,0.4541345398765462,0.0,0.33999999999999997,3.6320110080227885,0.34,-0.035715920947194446
Static G/D 35% G,2233,2017-06-28,2026-05-15,2.657800195780905,0.15760628318079095,0.18500618466732802,0.8841630569591967,1.0271743310183887,-0.3443569213284815,0.45768292553193834,0.0,0.35000000000000003,3.657800195780905,0.35,-0.03479196235775728
Static G/D 36% G,2233,2017-06-28,2026-05-15,2.6836989978139854,0.15852837107737083,0.18549520943907885,0.8866141878228763,1.031346277103449,-0.3437004186579019,0.4612399708339027,0.0,0.35999999999999993,3.6836989978139854,0.36,-0.033869874461177396
Static G/D 37% G,2233,2017-06-28,2026-05-15,2.709707151145365,0.1594485825691785,0.18599506575386654,0.8890006541932507,1.0347558663625889,-0.34304350211947876,0.4648057216767921,0.0,0.37000000000000005,3.709707151145365,0.37,-0.03294966296936974
Static G/D 38% G,2233,2017-06-28,2026-05-15,2.7358243843106487,0.16036691195160513,0.18650566652242434,0.8913229764091779,1.039328674573444,-0.34245687038163575,0.46828352946428375,0.0,0.37999999999999995,3.7358243843106487,0.38,-0.0320313335869431
Static G/D 39% G,2233,2017-06-28,2026-05-15,2.7620504173187235,0.16128335352740608,0.18702692374472063,0.8935817000342614,1.0427998644469485,-0.34190895457702086,0.47171433028693677,0.0,0.39000000000000007,3.7620504173187235,0.39,-0.031114892011142148
Static G/D 40% G,2233,2017-06-28,2026-05-15,2.7883849616130334,0.16219790160674763,0.18755874857255928,0.8957773946600492,1.0465490113507077,-0.34136082111650445,0.4751509006693842,0.0,0.39999999999999997,3.7883849616130334,0.4,-0.0302003439318006
Static G/D 41% G,2233,2017-06-28,2026-05-15,2.81482772003397,0.1631105505072743,0.18810105137145477,0.8979106527083361,1.0500292639962718,-0.34081247017997984,0.4785932581080063,0.0,0.41000000000000003,3.81482772003397,0.41,-0.02928769503127393
