scheme,train_start,train_end,test_start,test_end,selected_config_id,train_selection_score,train_cagr,train_sharpe,train_max_drawdown,train_turnover
rolling,2019-12-30,2020-12-28,2020-12-29,2021-03-30,local_a0.50_ls0.25_lc0.05_tilt0.50_tau1.50_eta0.10,0.813425925925926,0.2863181874893148,0.8960429353616002,-0.3104990792260539,4.779883697512876
rolling,2020-03-31,2021-03-30,2021-03-31,2021-06-29,local_a0.50_ls0.25_lc0.15_tilt0.50_tau0.75_eta0.05,0.7916666666666667,0.7405936674928286,2.7048936765898857,-0.08396719810107278,3.3895160058772946
rolling,2020-06-30,2021-06-29,2021-06-30,2021-09-28,local_a0.50_ls0.25_lc0.15_tilt0.50_tau0.75_eta0.05,0.7958333333333334,0.5249270000915243,2.9003398585577904,-0.08396719810107311,3.191639478347188
rolling,2020-09-29,2021-09-28,2021-09-29,2021-12-28,local_a0.67_ls0.25_lc0.25_tilt0.50_tau0.75_eta0.03,0.8398148148148149,0.4172654232047399,2.632476411913595,-0.07606762218316121,2.678109294104624
rolling,2020-12-29,2021-12-28,2021-12-29,2022-03-29,local_a0.50_ls0.25_lc0.05_tilt0.40_tau0.75_eta0.03,0.8199074074074074,0.3302862079666007,2.335258238637375,-0.04513118776176839,1.8898211708506176
rolling,2021-03-31,2022-03-29,2022-03-30,2022-06-29,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.00_eta0.03,0.8870370370370371,0.2060396240790956,1.4405860279712475,-0.09050486458671247,2.0583887105529355
rolling,2021-06-30,2022-06-29,2022-06-30,2022-09-28,local_a0.67_ls0.50_lc0.25_tilt0.50_tau0.75_eta0.03,0.8291666666666666,-0.02436885506448283,-0.04824411764476728,-0.162853880351278,3.2517660987984627
rolling,2021-09-29,2022-09-28,2022-09-29,2022-12-28,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.10,0.7935185185185185,-0.06516932655901642,-0.21154928756085756,-0.1686070445541198,7.749368539530584
rolling,2021-12-29,2022-12-28,2022-12-29,2023-03-30,local_a0.67_ls0.50_lc0.25_tilt0.50_tau0.75_eta0.10,0.8,-0.09675270848365458,-0.31041063992663753,-0.17450767404879886,9.973006971941686
rolling,2022-03-30,2023-03-30,2023-03-31,2023-06-30,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.10,0.787962962962963,-0.016046994713955653,0.05362928312892051,-0.17519185212759636,8.916844433600716
rolling,2022-06-30,2023-06-30,2023-07-03,2023-09-29,local_a0.50_ls0.50_lc0.05_tilt0.30_tau1.50_eta0.03,0.8203703703703704,0.20683464777928728,1.0297866823838389,-0.17443642811126914,1.747680672664114
rolling,2022-09-29,2023-09-29,2023-10-02,2023-12-29,local_a0.50_ls0.50_lc0.05_tilt0.30_tau0.75_eta0.03,0.8648148148148147,0.22699725588365283,1.2400408997297856,-0.08344597813603138,1.9586102296506698
rolling,2022-12-29,2023-12-29,2024-01-02,2024-04-02,local_a0.50_ls0.25_lc0.15_tilt0.50_tau1.50_eta0.03,0.8231481481481481,0.31992631824229156,2.1200781177458454,-0.09545917574999385,2.5548266667049577
rolling,2023-03-31,2024-04-02,2024-04-03,2024-07-02,local_a0.50_ls0.25_lc0.15_tilt0.30_tau1.50_eta0.03,0.7875,0.29431862121494534,2.317784878544762,-0.09615377629380473,1.4064858216762035
rolling,2023-07-03,2024-07-02,2024-07-03,2024-10-01,local_a0.50_ls0.50_lc0.25_tilt0.20_tau1.50_eta0.10,0.8638888888888889,0.2422261204541487,2.047729255118657,-0.09533393298431503,0.8893183729991686
rolling,2023-10-02,2024-10-01,2024-10-02,2024-12-31,local_a0.50_ls0.50_lc0.25_tilt0.30_tau1.50_eta0.05,0.8212962962962962,0.3191218573408505,2.246233589583805,-0.08031957727038996,1.2688457575799998
rolling,2024-01-02,2024-12-31,2025-01-02,2025-04-03,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.50_eta0.10,0.7754629629629629,0.22728271033746617,1.6764819690294896,-0.07651857463045986,3.887771583443132
rolling,2024-04-03,2025-04-03,2025-04-04,2025-07-07,local_a0.50_ls0.50_lc0.05_tilt0.20_tau1.50_eta0.03,0.9814814814814815,0.025522706337185896,0.24311847509557377,-0.12641683048008168,0.8150294013487016
rolling,2024-07-03,2025-07-07,2025-07-08,2025-10-03,local_a0.50_ls0.50_lc0.25_tilt0.40_tau0.75_eta0.03,0.9046296296296298,0.1889970901851281,0.9398861741701886,-0.19442376632387226,2.738691778088313
rolling,2024-10-02,2025-10-03,2025-10-06,2026-01-05,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.00_eta0.03,0.8967592592592591,0.20921928431190806,1.069285556998799,-0.1945130606777038,2.5209339667458432
rolling,2025-01-02,2026-01-05,2026-01-06,2026-04-07,local_a0.50_ls0.50_lc0.25_tilt0.50_tau1.00_eta0.03,0.8935185185185185,0.22022430019623118,1.1140783091101132,-0.19451306067770346,2.236168252758499
rolling,2025-04-04,2026-04-07,2026-04-08,2026-05-15,local_a0.50_ls0.25_lc0.05_tilt0.50_tau0.75_eta0.10,0.8023148148148147,0.3637759915969936,1.7195522433213764,-0.0689600462138642,8.080200489094281
