date,Smooth Score Best Local,100% G Buy & Hold,Vol-Matched 100% G,50/50 G-D,100% D Buy & Hold,SPY Buy & Hold,Vol-Matched Static G/D (49% G),MaxDD-Matched Static G/D (87% G),Best Sharpe Static G/D (89% G),Best Calmar Static G/D (87% G),Best CAGR Static G/D under Smooth MaxDD (86% G)
2018-06-27,1.1291843906090562,1.2153179095373066,1.1753422160807852,1.1625993645008144,1.1104463746977382,1.1272112294339443,1.161550295698631,1.20156459734641,1.2036785323682906,1.20156459734641,1.2005079052756682
2018-06-28,1.1388681801832987,1.2273459534278204,1.1848750431867643,1.1706679937416724,1.1148696060264929,1.1336560235412223,1.1695429531228285,1.2125327773577925,1.2148083738314868,1.2125327773577925,1.2113954445781923
2018-06-29,1.1402068855971284,1.2286759000623322,1.1859272280422635,1.1721941999242067,1.116568461309993,1.135288146724877,1.171072841141863,1.2139160640003046,1.216183560878731,1.2139160640003046,1.212782766524957
2018-07-02,1.145899010534025,1.2374142063434916,1.1928391724732925,1.1748692213821477,1.1137236197765326,1.1377154068423452,1.1736321801359608,1.2210249924117555,1.2235407303194419,1.2210249924117555,1.2197679055731012
2018-07-03,1.1374379876191243,1.2252984281909511,1.1832678845181357,1.1698376239216204,1.1150888578990756,1.1336978728525358,1.1687351800473615,1.210818454781529,1.213043567746425,1.210818454781529,1.2097062582230143
2018-07-05,1.1499410776041197,1.2399836973753893,1.1948897377688927,1.1811444848024342,1.1232798490110942,1.1429465708932465,1.1799771624470712,1.224599899973561,1.2269628963533883,1.224599899973561,1.2234189206373525
2018-07-06,1.1628310980785337,1.2551013403987321,1.2068281952393576,1.192755156008425,1.1316687585093959,1.1526137620565204,1.1915206216842158,1.238778002210739,1.2412842699106712,1.238778002210739,1.2375255606241735
2018-07-09,1.1724577896744799,1.2659716721756957,1.215393872934019,1.2019819208727103,1.1393759072317107,1.162992391530981,1.2007157876061023,1.2492089536112692,1.2517822646958578,1.2492089536112692,1.2479230657160745
2018-07-10,1.175598942731573,1.2684629992571985,1.2173539632294257,1.2064398055554486,1.1455850957919254,1.167177322770759,1.2052107820800912,1.2522327150139914,1.2547250877185903,1.2522327150139914,1.2509871638002896
2018-07-11,1.168835112863854,1.2623644186935739,1.2125575111427176,1.198027680842863,1.135117289772804,1.1586400630412348,1.1967550453257472,1.2455073393516032,1.2480949771328338,1.2455073393516032,1.244214314028168
2018-07-12,1.1836909484271836,1.2810074351826468,1.2272327797708613,1.2099116617104706,1.1408733683224899,1.1691442404543504,1.20851034775713,1.2623312377437443,1.2651958945207606,1.2623312377437443,1.2609000899658924
2018-07-13,1.1843166852929798,1.2814671948155831,1.2275937392144651,1.2108452408624293,1.1422245205879809,1.1700649253268187,1.2094528207981383,1.262919746582736,1.2657648527979988,1.262919746582736,1.2614983391782035
2018-07-16,1.1814935930397197,1.2779528390908599,1.22483478072932,1.208533286790994,1.1409951475027686,1.1690186925156958,1.207163676668771,1.2597298039801381,1.2625255448174975,1.2597298039801381,1.258333005284184
2018-07-17,1.1885622637133617,1.2866698821997555,1.2316815257007645,1.2145325735487529,1.144540347012272,1.173747664816692,1.2131113306305648,1.2677143252786685,1.270621566385862,1.2677143252786685,1.2662619389510665
2018-07-18,1.1883367357431887,1.285973461496472,1.2311351954603755,1.2148488695116773,1.1457559752532729,1.1762167742501881,1.2134467071120356,1.2672924041769162,1.2701579321983814,1.2672924041769162,1.2658608040805017
2018-07-19,1.1848721386709156,1.2815728815842713,1.2276826776511527,1.2119815603405955,1.144268263604289,1.171780747137815,1.2106084752469946,1.263305597759938,1.2661081666953342,1.263305597759938,1.2619053822941981
