date,WF Expanding,WF Rolling,Fixed Parameter,50/50 G-D,100% G,100% D,SPY
2022-08-08,1.966714330990179,1.9494082985255097,1.8607063503961565,1.781989981905248,1.9624505126099308,1.5769023149755652,1.6322660431585887
2022-08-09,1.950661537661494,1.9354019895885977,1.849412474713136,1.7725682864722707,1.9416842765736244,1.5769140400649941,1.6257842486593688
2022-08-10,2.00135809562853,1.9836809018557637,1.8932539474643144,1.8130844322390824,1.9971247232056195,1.6039768220877764,1.6599322391975266
2022-08-11,1.9958076861264908,1.9800093514218808,1.8919891233880843,1.8132665310923708,1.9871072078551555,1.6123445136873364,1.6599322391975266
2022-08-12,2.0328393405228504,2.015729809916419,1.9247866045289006,1.8438778809040612,2.0267135204366777,1.6346466539897577,1.6880331897459389
2022-08-15,2.043190047658409,2.024994368439985,1.9322856634957413,1.8502509274719896,2.0397488964100203,1.6354327156215618,1.6949892618933708
2022-08-16,2.042651044599492,2.0256494795783824,1.9346190227798148,1.8534820479765444,2.0358434314173204,1.6442760053724674,1.6983092054183762
2022-08-17,2.025208310468483,2.0086062751836695,1.9187427091169558,1.8384973006947036,2.0176978591599375,1.6323447372411861,1.686254648569304
2022-08-18,2.032431745287245,2.0160582133174496,1.9263297414799603,1.8460253568238574,2.0240168986208924,1.6406004043780056,1.6911555175855757
2022-08-19,1.9987570972030753,1.9841749475087276,1.8984450522101832,1.8206916186631712,1.9857111736427817,1.6266205237815847,1.6684297136933293
2022-08-22,1.9501725351314965,1.9371700745988718,1.8556763003839747,1.7808836048094046,1.9329792608458196,1.5986869408002957,1.6336888760990655
2022-08-23,1.9476916968142897,1.935037160171029,1.8542705659881602,1.7798917495902469,1.929109696279309,1.6001065339002858,1.629736562379217
2022-08-24,1.9515798104185975,1.9389311238692308,1.857981136632284,1.7834249482361404,1.9332633119485363,1.6030139304478488,1.6349536164887515
2022-08-25,1.9825544416449556,1.9695925139812254,1.8867681560626555,1.8106382645137842,1.9665581671750991,1.6243275053242363,1.658035128612998
2022-08-26,1.9104066255885601,1.8982341064854371,1.820483851921835,1.7485208893652036,1.8853670154959157,1.5799380879394658,1.6019122737894895
2022-08-29,1.893576965788672,1.8815236969372102,1.8052858101928009,1.7345757234099464,1.86405572527886,1.5725956561604024,1.5913200730196309
2022-08-30,1.8713836392992036,1.8595916529148477,1.784043914359667,1.7139526071170215,1.8443448931153412,1.5518300102536184,1.5738508463798146
2022-08-31,1.856030952171384,1.8443977160224627,1.7694830501537337,1.699947812018073,1.8296580754393332,1.5388273184427368,1.5618753358082171
2022-09-01,1.8549467984589862,1.8431321382533083,1.7684726355041003,1.6992296169237817,1.8258050138996333,1.5407676723396528,1.5667762048203298
2022-09-02,1.8366594046105857,1.8244509657386427,1.7507645786011534,1.6826433135549876,1.8020805457760845,1.530709282139193,1.5502555334727781
2022-09-06,1.8267083211690047,1.814522354086173,1.7412823696864654,1.6735868585811637,1.7916981032942967,1.5230508485184295,1.5444061091642423
2022-09-07,1.8566205429865907,1.844677133134058,1.7703061224305363,1.7013187434618189,1.8246613797455693,1.5455049938264986,1.5721513514806544
2022-09-08,1.8695935620704514,1.8572722101974408,1.7823507641387941,1.7130145523461797,1.8349208798572183,1.5580644201985776,1.5824273671489328
2022-09-09,1.9018928703312825,1.890228586657554,1.8143236550380735,1.7435307768387,1.873116976873094,1.5811432053429924,1.607010758486971
