method,config_id,year,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight
benchmark_50_50_gd,benchmark_50_50_gd,2020,253,2020-01-02,2020-12-31,0.2381631570389653,0.23711811410746786,0.3452935555427368,0.790813636447699,0.7765579401524539,-0.335867555191005,0.7059869595698841,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2021,252,2021-01-04,2021-12-31,0.31042951275303055,0.31042951275303055,0.13450868160368468,2.0783032454741295,3.4015201522544656,-0.04922338874074084,6.306544931070474,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2022,251,2022-01-03,2022-12-30,-0.17062934767878146,-0.1712473061620602,0.25081325481903605,-0.6231814313027201,-1.1033624875986858,-0.2377622693909205,-0.7202459271639156,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2023,250,2023-01-03,2023-12-29,0.2814480553973717,0.28399287685920016,0.13392111390676734,1.9343903808173841,3.6684340910952997,-0.09728234414164705,2.9192643265842255,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2024,252,2024-01-02,2024-12-31,0.22508688581646874,0.22508688581646874,0.1326074719725089,1.5979641306518915,2.2876248742623004,-0.08880408207890156,2.5346457116293513,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2025,250,2025-01-02,2025-12-31,0.17312614952158056,0.17462563122349417,0.19024410293025368,0.9406978376622457,1.1470328859474601,-0.19663743974784953,0.8880589141488958,0.0,0.5
benchmark_50_50_gd,benchmark_50_50_gd,2026,93,2026-01-02,2026-05-15,0.12386615658272215,0.3722087628768582,0.13641133396324498,2.3891485062167006,4.564765861388018,-0.07946920603369745,4.683685435576518,0.0,0.5
benchmark_spy,benchmark_spy,2016,7,2016-12-21,2016-12-30,-0.012633624877970928,-0.3672677151482284,0.04825957361745574,-9.451478944444347,-9.307624413950228,-0.011760544700379794,-31.228801429271208,0.0,
benchmark_spy,benchmark_spy,2017,251,2017-01-03,2017-12-29,0.21710797389612058,0.21806107345510295,0.0662313069906312,3.012648199264994,4.458484244643178,-0.025688044568624946,8.488815599512,0.0,
benchmark_spy,benchmark_spy,2018,251,2018-01-02,2018-12-31,-0.04569192504650765,-0.04586972432454883,0.17002820451960857,-0.19083963125952483,-0.3300800880173601,-0.19348879248195994,-0.23706656977987772,0.0,
benchmark_spy,benchmark_spy,2019,252,2019-01-02,2019-12-31,0.31223586084495536,0.31223586084495536,0.12483904614205561,2.24039599809834,3.077878994767435,-0.06618372275174167,4.717713780111269,0.0,
benchmark_spy,benchmark_spy,2020,253,2020-01-02,2020-12-31,0.18331562770991594,0.18252863220712623,0.3333192978838549,0.6714382599465428,0.618859782276482,-0.33717388442759166,0.5413486649981766,0.0,
benchmark_spy,benchmark_spy,2021,252,2021-01-04,2021-12-31,0.28729630826687713,0.28729630826687713,0.12962882625860728,2.014055610228984,3.1753517257660233,-0.05114120399611144,5.617707167956428,0.0,
