date,Joint 2017-06-28,Joint 2018-01-02,Joint 2018-06-28,Joint 2019-01-02,Joint 2020-01-02,Joint 2021-01-04,Joint 2022-01-03,Joint 2018-07-30,Joint 2018-08-29,Joint 2018-09-28,Joint 2018-10-29,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2024-06-27,1.281363998701559,1.281363998701559,1.281363998701559,1.263407095928016,1.263407095928016,1.2686338743701253,1.2686338743701253,1.2916417537331413,1.2675511294649238,1.263045492587491,1.2903992088996872,1.2019786125583156,1.2260063797195129,1.1874363106687134
2024-06-28,1.2839527242639834,1.2839527242639834,1.2839527242639834,1.2659595433577011,1.2659595433577011,1.2711968814026837,1.2711968814026837,1.2942512433307667,1.270111949039885,1.2655972094739332,1.293006188197682,1.2015972419755951,1.2207074287441013,1.1827636747858228
2024-07-01,1.2825603905547496,1.2825603905547496,1.2825603905547496,1.2645867216693063,1.2645867216693063,1.269818380282197,1.269818380282197,1.2928477417841346,1.2687346244330444,1.264224780704741,1.2916040368037454,1.2041116652813295,1.2299043883017504,1.1851977920830905
2024-07-02,1.286591729318308,1.286591729318308,1.286591729318308,1.2685615656676787,1.2685615656676787,1.2738096684092974,1.2738096684092974,1.296911415709523,1.272722506103032,1.2681984870517002,1.2956638015205422,1.210019730844851,1.2396078900639653,1.1931738728717933
2024-07-03,1.2902295781565285,1.2902295781565285,1.2902295781565285,1.2721484340678983,1.2721484340678983,1.277411375863761,1.277411375863761,1.3005784435470282,1.2763211395970135,1.2717843288441069,1.2993273017185292,1.21663043430179,1.2518544357656107,1.1984985044594278
2024-07-05,1.288846372716329,1.288846372716329,1.288846372716329,1.2707846127259181,1.2707846127259181,1.276041912324573,1.276041912324573,1.299184143486809,1.274952844858139,1.2704208978453144,1.2979343429592791,1.219550492134675,1.262069658375487,1.20540965893016
2024-07-08,1.2921042014088373,1.2921042014088373,1.2921042014088373,1.273996786543509,1.273996786543509,1.2792673750661507,1.2792673750661507,1.3024681030564687,1.2781755547539817,1.2736321522974954,1.301215143396784,1.2231391691140365,1.2666310126766356,1.206800583099393
2024-07-09,1.291198588603068,1.291198588603068,1.291198588603068,1.2731038649020927,1.2731038649020927,1.278370759363176,1.278370759363176,1.301555226376749,1.2772797042884043,1.2727394862217234,1.3003031448941582,1.2227428901484634,1.266986682533955,1.207974175369264
2024-07-10,1.3038467121682356,1.3038467121682356,1.3038467121682356,1.2855747389695706,1.2855747389695706,1.2908932260613588,1.2908932260613588,1.3143047998934867,1.2897914833979205,1.285206790964843,1.3130404534646318,1.2356328373250822,1.2818515915025204,1.219927429956241
2024-07-11,1.3089921188057339,1.3089921188057339,1.3089921188057339,1.2906480384097279,1.2906480384097279,1.2959875139954304,1.2959875139954304,1.319491477574195,1.2948814234941979,1.2902786383615292,1.3182221416197721,1.2283675625140733,1.2541505826657966,1.20940856591837
