date,g_return,d_return,SPY,future_gd_return_63d,tnx_change_21d,spy_drawdown,vix_percentile_756d,vix_change_21d,gd_trailing_126d,baa10y_spread,baa10y_change_21d,z_tnx_change_21d,z_spy_drawdown,z_vix_percentile_756d,z_vix_change_21d,z_gd_trailing_126d,z_baa10y_spread,z_baa10y_change_21d,r,d,vh,vr,g126,cs,ce,r_x_cs,z_r_x_cs,high_vix_smooth,vix_relief_smooth,low_vix_smooth,growth_ext_smooth,rate_quiet_smooth,old_i1,old_i2,old_i3,old_i4,z_old_i1,z_old_i2,z_old_i3,z_old_i4
2022-05-06,-0.0106112894934393,-0.0003321348135913,-0.0059689229373075,0.0698316514168383,0.5100000000000002,-0.1362586237746478,0.8597883597883598,8.09,-0.2169610826343597,2.09,0.31999999999999984,2.116014500374765,-0.36393633064670494,1.1035743856568236,1.206025063579411,-2.602433144952992,-0.6780225495761134,1.2216235072564476,-2.116014500374765,0.36393633064670494,1.1035743856568236,-1.206025063579411,-2.602433144952992,-0.6780225495761134,-1.2216235072564476,1.4347055464841239,0.719911974928105,1.3900182403024055,0.26189103986608486,0.2864438546455818,0.07147665854288619,0.10659073519458498,-2.335179402292012,0.3640333223856224,0.020474049590210375,0.0021823439982309152,-2.511231109538915,-0.23140745561018455,-1.0814679884680845,-0.990665363588289
2022-05-09,-0.0408353223888902,-0.0248074317931389,-0.0320173092823022,0.0779524703406396,0.3899999999999997,-0.1639132985571763,0.92989417989418,13.2,-0.2183245214577824,2.17,0.3899999999999999,1.628385229515842,-0.5916339184336227,1.321599735775741,1.9709866539308607,-2.607552995812426,-0.5768551334434706,1.4896178213670903,-1.628385229515842,0.5916339184336227,1.321599735775741,-1.9709866539308607,-2.607552995812426,-0.5768551334434706,-1.4896178213670903,0.9393423788697376,0.41565646348600044,1.5580213799086076,0.1304310037469974,0.23642164413286668,0.07112432153892612,0.2655852950719021,-2.1520734890692563,0.20321429244076164,0.016815329036067573,0.00446590412377513,-2.3327794394927586,-0.47357428921006944,-1.0910731561880658,-0.9829283537121067
2022-05-10,0.0118772138485951,-0.0041347539021874,0.002310570862759,0.0743532978584375,0.27,-0.1619814609860821,0.9047619047619048,11.830000000000002,-0.2060065806036733,2.16,0.3800000000000001,1.1412715579415094,-0.5756237952877684,1.242855543086014,1.7647427964435614,-2.479243311688909,-0.5893914616122149,1.4506902688400714,-1.1412715579415094,0.5756237952877684,1.242855543086014,-1.7647427964435614,-2.479243311688909,-0.5893914616122149,-1.4506902688400714,0.6726557116315958,0.2518380579694943,1.4963801197290012,0.15805518047532396,0.25352457664298716,0.08047948958696259,0.5213934267514342,-1.4184356819540158,0.23651062988345417,0.020403528525978386,0.01063826565598051,-1.6254144171000118,-0.4233482479684553,-1.0797456439156925,-0.9633881757703675
2022-05-11,-0.0306956541973076,-0.0073072019466112,-0.0158861409715218,0.0904346896240233,0.1200000000000001,-0.175294341633606,0.9007936507936508,8.190000000000001,-0.2195182659815724,2.17,0.34999999999999987,0.5327275257062276,-0.6851770351076751,1.2300795956212842,1.2189435015482468,-2.6035093028157688,-0.5766599294216452,1.335147916255739,-0.5327275257062276,0.6851770351076751,1.2300795956212842,-1.2189435015482468,-2.6035093028157688,-0.5766599294216452,-1.335147916255739,0.30720261737472093,0.027366279583652012,1.4864794261616867,0.25892932717516437,0.25639983054040255,0.07140246020812542,0.8677086231241027,-0.6552972593970438,0.38489311767576995,0.018307578697531194,0.015885643904370944,-0.8903705757144139,-0.1997629905952824,-1.0848441469428811,-0.946688446464481
2022-05-12,-0.0049941947383119,0.003987137128889,-0.0010439210692499,0.108398868077671,0.1199999999999996,-0.1761552692463044,0.8862433862433863,7.509999999999998,-0.2176655102530347,2.2,0.28000000000000025,0.5326421422843644,-0.6921423214547165,1.1843628939548418,1.1167444810254967,-2.57734748445997,-0.5386622988458454,1.0663738092656274,-0.5326421422843644,0.6921423214547165,1.1843628939548418,-1.1167444810254967,-2.57734748445997,-0.5386622988458454,-1.0663738092656274,0.28691424082507155,0.014901349189828576,1.4512867739451947,0.28317975389880257,0.2669238799903527,0.07322747127896484,0.8677480895390615,-0.6308415890782164,0.41097503148238734,0.01954616075566341,0.016961143653550302,-0.8666202505515194,-0.16044035074815827,-1.0803112838752926,-0.9426912823521562
2022-05-13,0.0356850698338858,0.0164609480985648,0.0239078350413501,0.0923139002907205,0.2299999999999999,-0.1564589253237593,0.832010582010582,7.050000000000001,-0.2061776709722488,2.24,0.30000000000000027,0.9786857004481818,-0.529766384791336,1.0151057964897168,1.047549667593238,-2.4581412314265485,-0.4880343958676175,1.142754738929925,-0.9786857004481818,0.529766384791336,1.0151057964897168,-1.047549667593238,-2.4581412314265485,-0.4880343958676175,-1.142754738929925,0.47763228456250445,0.13205653542463283,1.3243272893123157,0.3006942439882946,0.30922149282259886,0.08212721276749721,0.6194564678905566,-0.9934695274665479,0.3982175930528343,0.02539549933332469,0.015731406317338298,-1.2154197645573448,-0.1796414699235553,-1.06248299511253,-0.9457061103573727
2022-05-16,-0.0109572201738704,0.0036706177341366,-0.004057552523758,0.100744518406904,0.0499999999999998,-0.1598816375402055,0.7738095238095238,4.77,-0.2248335662494789,2.29,0.3600000000000001,0.24836802306305214,-0.5578794820710408,0.8335706961402503,0.7058159838910854,-2.6314156949995176,-0.4247750901313679,1.3723817769176663,-0.24836802306305214,0.5578794820710408,0.8335706961402503,-0.7058159838910854,-2.6314156949995176,-0.4247750901313679,-1.3723817769176663,0.10550054938235763,-0.0965869312619964,1.1943836111642896,0.40125998165782073,0.3608129150240393,0.06950413453102615,0.9696274654986581,-0.2070323058836461,0.4792583459081845,0.02507798938636253,0.024316307288500948,-0.4580817010114963,-0.057488324117165326,-1.0624823786184785,-0.918888584979941
2022-05-17,0.0263260474364496,0.0188000751749357,0.0205703716660035,0.0883043260575494,0.1299999999999999,-0.1426000905809734,0.7407407407407407,3.93,-0.2221284117724891,2.27,0.33000000000000007,0.5728820934815112,-0.4153995403301271,0.7303796182081168,0.5798581619956819,-2.5969422252764,-0.4499893156929759,1.2569292022832703,-0.5728820934815112,0.4153995403301271,0.7303796182081168,-0.5798581619956819,-2.5969422252764,-0.4499893156929759,-1.2569292022832703,0.25779082121850466,-0.0030005164889017094,1.1235872989723448,0.44467158209893215,0.3932076807642281,0.0718564028208395,0.8486597432866809,-0.4184214047152928,0.49962734186029845,0.028254489501242434,0.023978447806820624,-0.6615247775540571,-0.02678035020772329,-1.052400948189896,-0.9192290265693932
2022-05-18,-0.046828283561619,-0.0328356395096486,-0.0403115203754617,0.1061551520057213,-0.04,-0.1771631844994375,0.8703703703703703,9.59,-0.2333250927934701,2.31,0.40000000000000013,-0.11695509297879765,-0.7001368382491395,1.133989222534804,1.4274516266197035,-2.6964477247069625,-0.39936406237905026,1.524722104001623,0.11695509297879765,0.7001368382491395,1.133989222534804,-1.4274516266197035,-2.6964477247069625,-0.39936406237905026,-1.524722104001623,-0.04670766104793217,-0.19012094211807998,1.4129436989425632,0.21504649723164065,0.2789544764077593,0.06526763315812233,0.9931840875352206,0.13262581495851247,0.303848593243116,0.01820669843399772,0.018082603171198953,-0.1308057806847259,-0.32189119011372486,-1.080493115415449,-0.9364637783232282
2022-05-19,-0.0059226708491846,-0.0096704853855391,-0.0061246363497216,0.0899817199829058,-0.0100000000000002,-0.1822027607695415,0.8386243386243386,9.03,-0.2315747078919441,2.37,0.4600000000000002,0.004797870784499182,-0.7415319440945822,1.0347822139724896,1.3430783233340102,-2.6706949270358153,-0.3234601387323903,1.7538710336860852,-0.004797870784499182,0.7415319440945822,1.0347822139724896,-1.3430783233340102,-2.6706949270358153,-0.3234601387323903,-1.7538710336860852,0.0015519199495741879,-0.1604364703259952,1.3388078149100309,0.23193746114556363,0.3040256009375413,0.06691455561526467,0.9999884902842049,-0.004964751352737989,0.3105196855520722,0.02034373798239937,0.02034350383175698,-0.26329619166786594,-0.3117873231656526,-1.0733810406334099,-0.9288803988342431
