horizon_years,requested_start_date,actual_start_date,start_group,display_name,method,config_id,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth
5,2017-06-28,2018-06-28,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,1260,2018-06-28,2023-06-30,1.257523133904472,0.17686444387563016,0.2615884785004878,0.7540472044143443,0.8796611766244183,-0.34345533862955,0.5149561645521419,0.0,1.0,2.257523133904472
5,2017-06-28,2018-06-28,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,1260,2018-06-28,2023-06-30,0.7907776465580496,0.12359120981705018,0.21385046976871422,0.6525215860028643,0.7059316074346623,-0.33717388442759144,0.36655036325505086,0.0,,1.7907776465580496
5,2018-01-02,2018-06-28,annual,Joint Expanding,Joint Expanding start 2018-01-02,joint_expanding_start_20180102,1260,2018-06-28,2023-06-30,1.226316317202,0.1735926309168352,0.21974690765229657,0.8390464865777756,0.9705470784967847,-0.33251474596433883,0.5220599477878568,3.0952267756891123,0.47749574494481756,2.226316317202
5,2018-01-02,2018-06-28,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1260,2018-06-28,2023-06-30,0.9652237992268302,0.14467554073772426,0.222384712533119,0.7195126570555241,0.801707307208815,-0.33586755519100453,0.43075176063210013,0.0,0.5,1.9652237992268302
5,2018-01-02,2018-06-28,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,1260,2018-06-28,2023-06-30,1.257523133904472,0.17686444387563016,0.2615884785004878,0.7540472044143443,0.8796611766244183,-0.34345533862955,0.5149561645521419,0.0,1.0,2.257523133904472
5,2018-01-02,2018-06-28,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,1260,2018-06-28,2023-06-30,0.7907776465580496,0.12359120981705018,0.21385046976871422,0.6525215860028643,0.7059316074346623,-0.33717388442759144,0.36655036325505086,0.0,,1.7907776465580496
5,2018-06-28,2018-06-28,annual_block_phase_anchor,Joint Expanding,Joint Expanding start 2018-06-28,joint_expanding_start_20180628,1260,2018-06-28,2023-06-30,1.226316317202,0.1735926309168352,0.21974690765229657,0.8390464865777756,0.9705470784967847,-0.33251474596433883,0.5220599477878568,3.0952267756891123,0.47749574494481756,2.226316317202
5,2018-06-28,2018-06-28,annual_block_phase_anchor,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1260,2018-06-28,2023-06-30,0.9652237992268302,0.14467554073772426,0.222384712533119,0.7195126570555241,0.801707307208815,-0.33586755519100453,0.43075176063210013,0.0,0.5,1.9652237992268302
5,2018-06-28,2018-06-28,annual_block_phase_anchor,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,1260,2018-06-28,2023-06-30,1.257523133904472,0.17686444387563016,0.2615884785004878,0.7540472044143443,0.8796611766244183,-0.34345533862955,0.5149561645521419,0.0,1.0,2.257523133904472
5,2018-06-28,2018-06-28,annual_block_phase_anchor,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,1260,2018-06-28,2023-06-30,0.7907776465580496,0.12359120981705018,0.21385046976871422,0.6525215860028643,0.7059316074346623,-0.33717388442759144,0.36655036325505086,0.0,,1.7907776465580496
5,2019-01-02,2019-01-02,annual,Joint Expanding,Joint Expanding start 2019-01-02,joint_expanding_start_20190102,1260,2019-01-02,2024-01-03,1.5438884217999336,0.20531236453701007,0.21440172955904874,0.9790217390779892,1.1745807503199985,-0.3325147459643387,0.6174534123037937,3.0766632196885753,0.45025864574091307,2.5438884217999336
5,2019-01-02,2019-01-02,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1260,2019-01-02,2024-01-03,1.255412563015001,0.1766443101203301,0.21766628778814293,0.8569594737757457,0.9974993831543055,-0.335867555191005,0.5259344268006894,0.0,0.5,2.255412563015001
5,2019-01-02,2019-01-02,annual,100% G Buy & Hold,100% G Buy & Hold,100% G Buy & Hold,1260,2019-01-02,2024-01-03,1.6080398418468902,0.21133103524240338,0.2553462537113074,0.8792829563390667,1.0723743823754284,-0.3434553386295508,0.6153086339716034,0.0,1.0,2.60803984184689
5,2019-01-02,2019-01-02,annual,SPY Buy & Hold,SPY Buy & Hold,SPY Buy & Hold,1260,2019-01-02,2024-01-03,1.0354202429011856,0.15273855200888664,0.20967712694139418,0.7835020138445716,0.8866427430249965,-0.33717388442759155,0.4529963886977356,0.0,,2.0354202429011856
5,2020-01-02,2020-01-02,annual,Joint Expanding,Joint Expanding start 2020-01-02,joint_expanding_start_20200102,1260,2020-01-02,2025-01-03,1.2903045052499782,0.18026259999839556,0.21210834022511885,0.8882031593665123,1.0444756231921282,-0.3325147459643387,0.5421191155766915,3.197690883592176,0.38473963736365435,2.290304505249978
5,2020-01-02,2020-01-02,annual,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,50/50 G-D Buy & Hold,1260,2020-01-02,2025-01-03,1.136724736744179,0.16399124983337265,0.217492607579663,0.8077220245479645,0.9340623208072344,-0.335867555191005,0.488261659391638,0.0,0.5,2.136724736744179
