date,Joint Local Best,Old Best + Bond/Credit Incremental,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2025-01-02,3.6538762099284092,3.581764572748886,3.441003432648954,3.0473783816206077,3.889056824817216,2.7169317054654765
2025-01-03,3.693007423101763,3.618500160326289,3.474472338049363,3.084988390818134,3.95532493304105,2.7509026461585684
2025-01-06,3.7040505809400224,3.6271314457705572,3.479750454005481,3.101491420814207,4.003041166707637,2.766749555567068
2025-01-07,3.674041573726198,3.600315587994972,3.458235998559351,3.066957214603275,3.924462113595752,2.735473983629023
2025-01-08,3.676259915058918,3.602568565143441,3.460486790601157,3.0685849648096046,3.9256447646108183,2.73947056488537
2025-01-10,3.6233355481625447,3.5513504160594085,3.412580124892876,3.0217148142430705,3.8565273570029857,2.6976458773011873
2025-01-13,3.6374088418619133,3.566999088003338,3.431453151020326,3.0257672937667968,3.8362922311860763,2.701828346062434
2025-01-14,3.6560888514001895,3.5864906220973216,3.452664636764243,3.0364978331680343,3.834374429306274,2.705546096066145
2025-01-15,3.7096194795712654,3.637285911899861,3.4977744494317475,3.0879542346090787,3.9214558580631325,2.754759811793311
2025-01-16,3.7115356062683715,3.640707646706161,3.5048770206041313,3.0829049710728875,3.8938136317073524,2.7494620180309504
2025-01-17,3.744999524274062,3.6724069978388205,3.532458119074162,3.1157736680091035,3.9513278359535553,2.7770663118391514
2025-01-21,3.776599721215099,3.703543156274342,3.5627750512752763,3.1414332164777004,3.981844529462585,2.8024864275142782
2025-01-22,3.7778925435661415,3.7021488476809035,3.553174076655242,3.1572893492934693,4.047283522179001,2.8182403931703273
2025-01-23,3.8001185913995945,3.7242442352231557,3.575886393945405,3.1730695989816704,4.058764188963187,2.8336225838260045
2025-01-24,3.789775015257329,3.7144850839281207,3.5684913307687016,3.160618314489659,4.030917901747746,2.8253505900606757
2025-01-27,3.750868236309873,3.678964409153026,3.5476614341298274,3.102135714955778,3.8755805868537805,2.7853847774783485
2025-01-28,3.758184735978011,3.6842635877702077,3.5442175437108716,3.127088277201344,3.9647396560695465,2.809317793151991
