mode,test_start,test_end,train_start,train_end,selected_config_id,train_selection_score,train_sharpe,train_cagr,train_max_drawdown
expanding,2024-04-03,2024-07-02,2017-06-28,2024-04-02,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.05,0.8057500000000001,0.983896283575776,0.19276659187239398,-0.31837581807443227
expanding,2024-07-03,2024-10-01,2017-06-28,2024-07-02,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau1.00_eta0.05,0.8025,0.973161167542631,0.1887228492781592,-0.31802504001067256
expanding,2024-10-02,2024-12-31,2017-06-28,2024-10-01,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8067500000000001,0.9975633702600546,0.1940141111316913,-0.3194788030053112
expanding,2025-01-02,2025-04-03,2017-06-28,2024-12-31,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8074999999999999,0.9897006325244171,0.1901447091134567,-0.3194788030053112
expanding,2025-04-04,2025-07-07,2017-06-28,2025-04-03,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.810875,0.9113762035696175,0.1717019001386626,-0.3194788030053112
expanding,2025-07-08,2025-10-03,2017-06-28,2025-07-07,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.81225,0.9753113759464029,0.1900695477566745,-0.3194788030053112
expanding,2025-10-06,2026-01-05,2017-06-28,2025-10-03,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8115,1.0008741016337497,0.1936726075857662,-0.3194788030053112
expanding,2026-01-06,2026-04-07,2017-06-28,2026-01-05,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.81225,1.0025450797223943,0.19222009576820387,-0.3194788030053112
expanding,2026-04-08,2026-05-15,2017-06-28,2026-04-07,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8125,0.9837231681385843,0.1863933215249849,-0.3194788030053112
rolling,2018-06-28,2018-09-26,2017-06-28,2018-06-27,joint_a0.50_ls0.50_lcrowd0.05_lcred0.10_li0.50_tilt0.30_tau1.00_eta0.03,0.876375,1.3129956338479039,0.17965159521379914,-0.10002414931199333
rolling,2018-09-27,2018-12-27,2017-06-28,2018-09-26,joint_a0.50_ls0.50_lcrowd0.05_lcred0.10_li0.50_tilt0.30_tau1.00_eta0.03,0.8855000000000001,1.643301085023669,0.2162315340606833,-0.10002414931199333
rolling,2018-12-28,2019-03-29,2017-06-28,2018-12-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.9223750000000001,0.524130988620561,0.06962801115961348,-0.19152314092457523
rolling,2019-04-01,2019-06-28,2017-06-28,2019-03-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.8978750000000002,1.0514249447807797,0.15846150900785405,-0.19152314092457523
rolling,2019-07-01,2019-09-27,2017-06-28,2019-06-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.8932500000000001,1.0691769197757466,0.1591297409480994,-0.19152314092457523
rolling,2019-09-30,2019-12-27,2017-06-28,2019-09-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.90725,0.9889168299952635,0.14701889036448668,-0.19152314092457523
rolling,2019-12-30,2020-03-30,2017-06-28,2019-12-27,joint_a0.50_ls0.25_lcrowd0.05_lcred0.50_li0.50_tilt0.30_tau1.00_eta0.03,0.922875,1.1979610600142938,0.17821657768072896,-0.19152314092457523
rolling,2020-03-31,2020-06-29,2017-06-28,2020-03-30,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.79775,0.4807673304914543,0.08533114141769138,-0.32012720395683003
rolling,2020-06-30,2020-09-28,2017-06-28,2020-06-29,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8063749999999998,0.731160203195216,0.15322404786373833,-0.32012720395683003
rolling,2020-09-29,2020-12-28,2017-09-27,2020-09-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.8007500000000001,0.8188077815815762,0.1801956722742004,-0.3194788030053113
rolling,2020-12-29,2021-03-30,2017-12-27,2020-12-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,0.791875,0.8820238120982579,0.20129794229600528,-0.3194788030053112
rolling,2021-03-31,2021-06-29,2018-03-29,2021-03-30,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau1.00_eta0.05,0.799625,1.0830332152524094,0.2581372612190853,-0.3178081969682889
rolling,2021-06-30,2021-09-28,2018-06-28,2021-06-29,joint_a0.67_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau1.00_eta0.05,0.8022500000000001,1.0906501127395027,0.25896136069609543,-0.3165819133121184
rolling,2021-09-29,2021-12-28,2018-09-27,2021-09-28,joint_a0.67_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau1.00_eta0.05,0.80175,1.0038833068654514,0.23410197169486557,-0.3165819133121184
rolling,2021-12-29,2022-03-29,2018-12-28,2021-12-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau1.00_eta0.05,0.80575,1.3665231821836104,0.33195506159316124,-0.317808196968289
rolling,2022-03-30,2022-06-29,2019-04-01,2022-03-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau1.00_eta0.05,0.80725,1.1353377166137397,0.2635064574173469,-0.3178081969682892
rolling,2022-06-30,2022-09-28,2019-07-01,2022-06-29,joint_a0.67_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau1.00_eta0.05,0.8012500000000001,0.853141760874379,0.19086718565097027,-0.31658191331211816
rolling,2022-09-29,2022-12-28,2019-09-30,2022-09-28,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau1.00_eta0.05,0.80375,0.7816493460092514,0.17416252092898943,-0.3178081969682893
rolling,2022-12-29,2023-03-30,2019-12-30,2022-12-28,joint_a0.67_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau0.75_eta0.05,0.8003750000000001,0.68753717584526,0.15134235918299654,-0.31624653650357326
rolling,2023-03-31,2023-06-30,2020-03-31,2023-03-30,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau0.75_eta0.03,0.827875,1.312059967604664,0.2744975430546188,-0.18402847645793496
rolling,2023-07-03,2023-09-29,2020-06-30,2023-06-30,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.10_tilt0.50_tau0.75_eta0.03,0.8325000000000001,1.238917989165925,0.23180513144476156,-0.18402847645793452
rolling,2023-10-02,2023-12-29,2020-09-29,2023-09-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.829875,1.0286027410368368,0.1802148622761639,-0.18653607633832214
rolling,2024-01-02,2024-04-02,2020-12-29,2023-12-29,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.834875,0.9537658748291965,0.1615163007320055,-0.18653607633832237
rolling,2024-04-03,2024-07-02,2021-03-31,2024-04-02,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.8398749999999999,0.9120795502182127,0.1508846632642853,-0.18653607633832225
rolling,2024-07-03,2024-10-01,2021-06-30,2024-07-02,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.8385,0.8355714297851862,0.13550373768679513,-0.1865360763383228
rolling,2024-10-02,2024-12-31,2021-09-29,2024-10-01,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.844125,0.916613148696184,0.15379322016774144,-0.18653607633832248
rolling,2025-01-02,2025-04-03,2021-12-29,2024-12-31,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.8462500000000001,0.7894987006782365,0.12810223915929186,-0.18653607633832336
rolling,2025-04-04,2025-07-07,2022-03-30,2025-04-03,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,0.8466249999999998,0.608186522528264,0.09410333135977789,-0.18231297749270392
rolling,2025-07-08,2025-10-03,2022-06-30,2025-07-07,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.30_tau0.75_eta0.03,0.951125,1.154420761486022,0.2064231931242675,-0.18720011515429047
rolling,2025-10-06,2026-01-05,2022-09-29,2025-10-03,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.03,0.9512499999999999,1.4536906655760562,0.25335701393743215,-0.18416544661458245
rolling,2026-01-06,2026-04-07,2022-12-29,2026-01-05,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.03,0.960125,1.617575691342713,0.25884084295500176,-0.18416544661458278
rolling,2026-04-08,2026-05-15,2023-03-31,2026-04-07,joint_a0.50_ls0.25_lcrowd0.05_lcred0.10_li0.50_tilt0.30_tau0.75_eta0.03,0.960125,1.3439687785730834,0.204591777617654,-0.18880389832836686
