date,Joint WF Expanding,Joint WF Rolling,Old+Credit WF Expanding,Old+Credit WF Rolling,Existing Smooth Score Best Local,50/50 G-D Buy & Hold,100% G Buy & Hold,SPY Buy & Hold
2022-04-19,2.0847787421582904,2.1117773631800656,2.1438345630817945,2.1715037822655487,2.127031606473756,1.8943344775429054,2.0734832642483005,1.7513729450405955
2022-04-20,2.0877416484931777,2.122128947506942,2.147891344217721,2.183494423070144,2.1380444243119054,1.8937678725747478,2.056990378958532,1.7500742908240947
2022-04-21,2.0575079344319733,2.095086927823397,2.1172995157506507,2.1563417455006735,2.111111970126266,1.8646411575246526,2.0174515781858413,1.7239044407340742
2022-04-22,2.002993052642565,2.040744816336849,2.0613662568711195,2.100623595211383,2.0564565230526735,1.8146856866763585,1.9609081846293939,1.6766019447804235
2022-04-25,2.0130599095837565,2.0451436288863736,2.0707264282222413,2.1040616249813713,2.0603240961619895,1.827213012963264,1.9875373069428084,1.6863221748127903
2022-04-26,1.9626997427525272,2.0025034588744717,2.0204739471356326,2.0618150418453576,2.018223087742176,1.7760659978115583,1.912129620129602,1.6374849056956964
2022-04-27,1.968689464852208,2.0069532350268595,2.026260724448184,2.066027741612111,2.02250444522075,1.7826794092978917,1.9232441519950931,1.6420892251860255
2022-04-28,2.01673660918705,2.048443385714507,2.0739322990142686,2.1070490995526225,2.0633776082719537,1.8319544283101783,1.9948874257044646,1.6835674537526528
2022-04-29,1.9495667792765303,1.9858453683544324,2.006233443597674,2.043941986351591,2.0010351247518128,1.7661455494249751,1.9086419051784,1.6213501109047908
2022-05-02,1.9642698963599712,1.9971283874351724,2.0204149279405996,2.0546996869847147,2.0119250263639445,1.7831019836121849,1.9369578590438186,1.6311096940949812
2022-05-03,1.9792398712987984,2.015487806202189,2.0366232142439613,2.0743149066630604,2.0308278211150412,1.7933581693924847,1.939281961766299,1.6385867941189192
2022-05-04,2.0392216929182205,2.0749415431419354,2.0979096999425386,2.135124031264538,2.090521629614411,1.8497513157816974,2.005143062164465,1.6884865985055715
2022-05-05,1.974295479663405,2.016744398936998,2.03323800654813,2.0770870365441905,2.0329037594648782,1.7804713970722148,1.9058162839072976,1.6284730325083148
2022-05-06,1.9684210027614926,2.0138670322330063,2.028045725207909,2.074865095355387,2.030406544585369,1.7707291700898684,1.8855931155974466,1.6187528024717892
2022-05-09,1.9118450381413339,1.9606243204267777,1.9710662021930476,2.021126708980547,1.9773240177095313,1.7126114002722896,1.808594312827753,1.5669246933434566
2022-05-10,1.911104035522351,1.9555924318086557,1.9690221044887257,2.0148591625605823,1.9717112737579827,1.7192413128574742,1.8300753742465612,1.5705451838840336
2022-05-11,1.8867948058847137,1.9367426613069356,1.9459504082677035,1.9971146585221857,1.953359844335631,1.686573272712872,1.7739000134036806,1.5455952816907073
2022-05-12,1.8901783819491722,1.9423732880782736,1.9503072782112647,2.003676235065291,1.9591418291604987,1.6857240344888045,1.7650408112904485,1.5439818022116172
2022-05-13,1.9305251451206216,1.979345391747105,1.9899438857954204,2.04005696588903,1.996288336346018,1.7296759323546125,1.8280264159010067,1.5808950644457391
2022-05-16,1.9304066122435686,1.9825301793893668,1.991458787191254,2.0448164986299004,1.9995041848300585,1.7233742019202907,1.8079963279783284,1.5744804996872008
2022-05-17,1.9705455216918222,2.0221195826984797,2.031994416742258,2.084872074550326,2.03952043597002,1.7622587996908672,1.8555937250736123,1.6068681487466416
2022-05-18,1.8983064466973893,1.9508477375285407,1.9592334581595974,2.012946540522863,1.96716113430715,1.6920645749657484,1.7686994559407043,1.542092850627761
2022-05-19,1.8819562086059676,1.933325046233342,1.9419076945715839,1.9944625609605413,1.9496276327302577,1.6788722613274072,1.7582240312320356,1.5326480927001602
2022-05-20,1.8844166137683411,1.936265464373185,1.9447811308158054,1.9977908470492496,1.9524068720751726,1.680282098336765,1.7574210139946262,1.5333170963873222
2022-05-23,1.9183713171419619,1.9707209889983268,1.9794991228862548,2.033055047071515,1.9873065313806393,1.7113701918124944,1.792215643408806,1.5620055485905382
2022-05-24,1.9072208152069212,1.9623785179022217,1.97048991221436,2.02660382712632,1.9772728165719737,1.696255035340779,1.757613048958717,1.550081541707566
